case_id	doc_id	first_sent_id	first_speaker	first_text	second_sent_id	second_speaker	second_text	existing_links	decision	proposed_root_only_annotation	notes
coco_01	Gos009	Gos009.s225	Tf-stud-06580	nisem ga iskala , ampak sem srečala v tečaj slovenščine na začetku , eem , sem srečala moj z- zdaj- , eee , moj	Gos009.s227	Af-prof-06578	mojo cimro , mojega cimra .	Gos009.s225:18:moj->reparandum::Gos009.s227::4 | Gos009.s225:24:moj->reparandum::Gos009.s227::4 | Gos009.s227:5:cimra->obj::Gos009.s225::17			
coco_02	Gos017	Gos017.s284	Rm-ucen-07121	eee , štiri sem imel še vedno , samo pol je bilo pač	Gos017.s285	Af-prof-07104	bolj trdno štiri .	Gos017.s284:10:pol->advmod::Gos017.s285::3 | Gos017.s284:12:bilo->cop::Gos017.s285::3 | Gos017.s284:13:pač->advmod::Gos017.s285::3 | Gos017.s285:3:štiri->parataxis::Gos017.s284::12			
coco_03	Gos020	Gos020.s407	Mf-prof-01061	se pravi , rezultat za Žide je bil , v katerem koli taborišču že so se znašli , isti	Gos020.s408	Jm-ucen-01064	slab .	Gos020.s408:1:slab->conj::Gos020.s407::19			
coco_04	Gos021	Gos021.s149	Sf-prof-01049	prej je bil moder , polovica je še vedno moder , ostala polovica pa je že	Gos021.s150	Pn-vsiucenci-10000	rdeča .	Gos021.s149:13:polovica->nsubj::Gos021.s150::1 | Gos021.s149:14:pa->advmod::Gos021.s150::1 | Gos021.s149:15:je->cop::Gos021.s150::1 | Gos021.s149:16:že->advmod::Gos021.s150::1 | Gos021.s150:1:rdeča->parataxis::Gos021.s149::4			
coco_05	Gos045	Gos045.s301	Cm-gost-02143	glejte , zdaj ne vem , koliko jih v- , jih je bilo takrat prisotnih na tem , eee , krpanju , ampak skušamo vse zadevo	Gos045.s302	Af-mode-02141	na generalno gledati na racionalnost , eee , izkušnje so , če gledamo , kaj delate izvajalci po Sloveniji , kar , eee , takšne , da moramo biti zelo previdni .	Gos045.s302:3:gledati->xcomp::Gos045.s301::24			
coco_06	Gos053	Gos053.s461	Af-prof-07037	če atom odda elektrone , nastane	Gos053.s462	Dm-ucen-07041	kation .	Gos053.s462:1:kation->nsubj::Gos053.s461::6			
coco_07	Gos190	Gos190.s165	Cf-stra-02265	ker jaz sem , ej , zdaj pa še mi samo povej , jaz imam družinsko srečo , saj veš , že	Gos190.s167	Af-stra-02276	par let .	Gos190.s165:22:že->advmod::Gos190.s167::2 | Gos190.s167:2:let->obl::Gos190.s165::15			
coco_08	Gos200	Gos200.s115	Af-info-05596	eee , ja , eee , veste kaj , pa tudi najbrž ste gor prebrali , da , eem , je določen rok , mislim , da štirinajst dni	Gos200.s116	Bm-klic-02237	aha , v katerem	Gos200.s116:4:katerem->acl::Gos200.s115::23			
coco_09	Gos233	Gos233.s364	Tm-otro-03016	ne , ta naša samohodka je kriza , ker	Gos233.s366	Bm-star-03014	vse raztepe pa razm- , ostane na tleh .	Gos233.s364:9:ker->mark::Gos233.s366::2 | Gos233.s366:2:raztepe->advcl::Gos233.s364::7			
coco_10	Gos233	Gos233.s388	Tm-otro-03016	ja , pa	Gos233.s389	Bm-star-03014	more pobirati .	Gos233.s388:1:ja->discourse::Gos233.s389::1 | Gos233.s388:3:pa->advmod::Gos233.s389::1 | Gos233.s389:1:more->parataxis::Gos233.s388::3			
coco_11	Gos233	Gos233.s415	Tm-otro-03016	saj veš , da , da , da , kdor ti bo reklamo poslal	Gos233.s417	Bm-star-03014	zaračuna .	Gos233.s415:8:da->mark::Gos233.s417::1 | Gos233.s415:10:kdor->nsubj::Gos233.s417::1 | Gos233.s415:14:poslal->advcl::Gos233.s417::1 | Gos233.s417:1:zaračuna->ccomp::Gos233.s415::2			
coco_12	Gos233	Gos233.s441	Bm-star-03014	in taisti stane v trgovini	Gos233.s442	Tm-otro-03016	devetsto evrov .	Gos233.s442:2:evrov->obl::Gos233.s441::3			
coco_13	Gos246	Gos246.s352	Am-soro-07522	in da še vedno	Gos246.s353	Mm-star-07523	p- , pozna še to , ja .	Gos246.s352:1:in->cc::Gos246.s353::3 | Gos246.s352:2:da->mark::Gos246.s353::3 | Gos246.s352:3:še->advmod::Gos246.s353::3 | Gos246.s352:4:vedno->advmod::Gos246.s353::3 | Gos246.s353:3:pozna->parataxis::Gos246.s352::4			
coco_14	Gos254	Gos254.s615	Dm-prij-06009	podpišeš , potem pa	Gos254.s616	Mm-prij-06007	potem pa se zgodi , ne .	Gos254.s615:3:potem->reparandum::Gos254.s616::1 | Gos254.s615:4:pa->reparandum::Gos254.s616::2 | Gos254.s616:4:zgodi->parataxis::Gos254.s615::1			
