sample_id	sent_id	source_file	line	source_key	source_kind	selected_source_data	expected_enriched_data
S01	Gos224.s1	metadata/gos/Gos-speeches.tsv	225	Gos224	event/document	SUBCORPUS=Gos | TYPE=zasebni | DOMAIN=doma, prijatelji | CHANNEL=osebni stik | TITLE=Pogovor med starejšima prijateljicama o cerkvi, opravilih, živini, zdravju ...	# event_type = private | # event_domain = home, friends | # event_channel = in-person | # event_description = A conversation between two older friends about church, chores, livestock, health...
S01	Gos224.s1	metadata/gos/descriptions-en.tsv	225	Gos224	event_description_override	english=A conversation between two older friends about church, chores, livestock, health...	# event_description = A conversation between two older friends about church, chores, livestock, health...
S01	Gos224.s1	metadata/gos/utterance-speaker.tsv	78574	Gos224.u1	utterance_to_speaker	utterance_id=Gos224.u1 | speaker_id=Af-prij-07190	speaker candidate Af-prij-07190
S01	Gos224.s1	metadata/gos/Gos-speakers.tsv	1706	Af-prij-07190	speaker_attributes	SEX=ženski | AGE=nad 60 let | EDUCATION=OŠ ali manj | PERM-RESD=posavska	# speaker_gender = female | # speaker_age = 60+ | # speaker_education = primary or less | # speaker_residence = posavska
S02	GosVL14_karci.s1	metadata/gos/Gos-speeches.tsv	302	GosVL14_karci	event/document	SUBCORPUS=GosVL | TYPE=informativno-izobraževalni | DOMAIN=javno predavanje, karcinom | CHANNEL=osebni stik | TITLE=Zdravljenje neoperabilnega ploščatoceličnega …	# event_type = info-education | # event_domain = public lecture, carcinoma | # event_channel = in-person | # event_description = Treatment of inoperable squamous cell …
S02	GosVL14_karci.s1	metadata/gos/descriptions-en.tsv	302	GosVL14_karci	event_description_override	english=Treatment of inoperable squamous cell …	# event_description = Treatment of inoperable squamous cell …
S02	GosVL14_karci.s1	metadata/gos/utterance-speaker.tsv	107812	GosVL14_karci.u1	utterance_to_speaker	utterance_id=GosVL14_karci.u1 | speaker_id=Sm-vl022	speaker candidate Sm-vl022
S02	GosVL14_karci.s1	metadata/gos/Gos-speakers.tsv	2019	Sm-vl022	speaker_attributes	SEX=moški | AGE=- | EDUCATION=- | PERM-RESD=-	# speaker_gender = male | # speaker_age = unknown | # speaker_education = unknown | # speaker_residence = unknown
S03	Artur-J-Gvecg-P580017.resegsent10614	metadata/gos/Gos-speeches.tsv	403	Artur-J-Gvecg-P580017	event/document	SUBCORPUS=Artur-J | TYPE=informativno-izobraževalni | DOMAIN=intervju | CHANNEL=radio | TITLE=Artur-J-Gvecg-P580017	# event_type = info-education | # event_domain = interview | # event_channel = radio | # event_description = Artur-J-Gvecg-P580017
S03	Artur-J-Gvecg-P580017.resegsent10614	metadata/gos/utterance-speaker.tsv	2489	Artur-J-Gvecg-P580017.u1	utterance_to_speaker	utterance_id=Artur-J-Gvecg-P580017.u1 | speaker_id=Artur-J-G4544	speaker candidate Artur-J-G4544
S03	Artur-J-Gvecg-P580017.resegsent10614	metadata/gos/Gos-speakers.tsv	2262	Artur-J-G4544	speaker_attributes	SEX=ženski | AGE=nad 60 let | EDUCATION=srednja šola | PERM-RESD=-	# speaker_gender = female | # speaker_age = 60+ | # speaker_education = high-school | # speaker_residence = unknown
S04	Artur-N-G5038-P600037.resegsent28429	metadata/gos/Gos-speeches.tsv	487	Artur-N-G5038-P600037	event/document	SUBCORPUS=Artur-N | TYPE=zasebni | DOMAIN=prosti monološki govor | CHANNEL=osebni stik | TITLE=Artur-N-G5038-P600037	# event_type = private | # event_domain = free monologue | # event_channel = in-person | # event_description = Artur-N-G5038-P600037
S04	Artur-N-G5038-P600037.resegsent28429	metadata/gos/utterance-speaker.tsv	9838	Artur-N-G5038-P600037.u2	utterance_to_speaker	utterance_id=Artur-N-G5038-P600037.u2 | speaker_id=Artur-N-G5038	speaker candidate Artur-N-G5038
S04	Artur-N-G5038-P600037.resegsent28429	metadata/gos/Gos-speakers.tsv	2423	Artur-N-G5038	speaker_attributes	SEX=ženski | AGE=30 do 59 let | EDUCATION=fakulteta ali več | PERM-RESD=pomurska	# speaker_gender = female | # speaker_age = 30 to 59 | # speaker_education = university or more | # speaker_residence = pomurska
S05	Artur-P-G7181-P701995.resegsent63049	metadata/gos/Gos-speeches.tsv	1450	Artur-P-G7181-P701995	event/document	SUBCORPUS=Artur-P | TYPE=informativno-izobraževalni | DOMAIN=seja državnega zbora | CHANNEL=osebni stik | TITLE=Artur-P-G7181-P701995	# event_type = info-education | # event_domain = session of the National Assembly | # event_channel = in-person | # event_description = Artur-P-G7181-P701995
S05	Artur-P-G7181-P701995.resegsent63049	metadata/gos/utterance-speaker.tsv	14543	Artur-P-G7181-P701995.u1	utterance_to_speaker	utterance_id=Artur-P-G7181-P701995.u1 | speaker_id=Artur-P-G7181	speaker candidate Artur-P-G7181
S05	Artur-P-G7181-P701995.resegsent63049	metadata/gos/Gos-speakers.tsv	3378	Artur-P-G7181	speaker_attributes	SEX=moški | AGE=- | EDUCATION=- | PERM-RESD=-	# speaker_gender = male | # speaker_age = unknown | # speaker_education = unknown | # speaker_residence = unknown
S06	Gos059.s171	metadata/gos/Gos-speeches.tsv	60	Gos059	event/document	SUBCORPUS=Gos | TYPE=informativno-izobraževalni | DOMAIN=gimnazija, družboslovje | CHANNEL=osebni stik | TITLE=Učna ura slovenščine v 3. letniku gimnazije. Tema je povedek.	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S06	Gos059.s171	metadata/gos/descriptions-en.tsv	60	Gos059	event_description_override	english=A Slovenian language lesson in the third year of a grammar school. The topic is the predicate.	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S06	Gos059.s171	metadata/gos/utterance-speaker.tsv	31658	Gos059.u144	utterance_to_speaker	utterance_id=Gos059.u144 | speaker_id=Lf-ucen-02196	speaker candidate Lf-ucen-02196
S06	Gos059.s171	metadata/gos/Gos-speakers.tsv	621	Lf-ucen-02196	speaker_attributes	SEX=ženski | AGE=10 do 18 let | EDUCATION=OŠ ali manj | PERM-RESD=savinjska	# speaker_gender = female | # speaker_age = 0-18 | # speaker_education = primary or less | # speaker_residence = savinjska
S07	Artur-P-G7030-P700134.resegsent46706	metadata/gos/Gos-speeches.tsv	736	Artur-P-G7030-P700134	event/document	SUBCORPUS=Artur-P | TYPE=informativno-izobraževalni | DOMAIN=seja državnega zbora | CHANNEL=osebni stik | TITLE=Artur-P-G7030-P700134	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S07	Artur-P-G7030-P700134.resegsent46706	metadata/gos/utterance-speaker.tsv	13735	Artur-P-G7030-P700134.u1	utterance_to_speaker	utterance_id=Artur-P-G7030-P700134.u1 | speaker_id=Artur-P-G7030	speaker candidate Artur-P-G7030
S07	Artur-P-G7030-P700134.resegsent46706	metadata/gos/Gos-speakers.tsv	2673	Artur-P-G7030	speaker_attributes	SEX=moški | AGE=- | EDUCATION=- | PERM-RESD=-	# speaker_gender = male | # speaker_age = unknown | # speaker_education = unknown | # speaker_residence = unknown
S08	Artur-J-Gvecg-P580013.resegsent10183	metadata/gos/Gos-speeches.tsv	399	Artur-J-Gvecg-P580013	event/document	SUBCORPUS=Artur-J | TYPE=informativno-izobraževalni | DOMAIN=intervju | CHANNEL=radio | TITLE=Artur-J-Gvecg-P580013	document-level context only; event comments are emitted at document start, not in this sampled sentence block
S08	Artur-J-Gvecg-P580013.resegsent10183	metadata/gos/utterance-speaker.tsv	2346	Artur-J-Gvecg-P580013.u88	utterance_to_speaker	utterance_id=Artur-J-Gvecg-P580013.u88 | speaker_id=Artur-J-G4543	speaker candidate Artur-J-G4543
