doc_id	slovenian	english
Gos001	Splošno predavanje za prvi letnik prevajalstva.	A general lecture for first-year translation students.
Gos002	Ura filozofije, pri kateri predavatelj študentom razlaga nemško klasično filozofijo.	A philosophy class in which the lecturer explains German classical philosophy to the students.
Gos003	Strokovni seminar, namenjen predvsem kemikom in matematikom.	A specialist seminar aimed primarily at chemists and mathematicians.
Gos004	Predavanje o vzgoji otroka, ki poudarja vzpodbujanje samostojnosti in odgovornosti, sprejemanje odločitev, pogovor z otrokom, izkazovanje ljubezni in vpliv partnerskih odnosov na čustveni razvoj otroka.	A lecture on child-rearing, emphasising the encouragement of independence and responsibility, decision-making, communicating with children, showing love, and the influence of parental relationships on a child’s emotional development.
Gos005	Javno predavanje in okrogla miza o univerzalnem temeljnem dohodku.	A public lecture and round-table discussion on universal basic income.
Gos006	Predavanje iz književnosti na temo modernizma in avantgarde.	A lecture on literature focusing on modernism and the avant-garde.
Gos007	Predavanje ob dnevu fakultete o najnovejših odkritjih v vesolju.	A lecture on the occasion of the faculty’s anniversary on the latest discoveries in space.
Gos008	Predavanje s področja komunikacije človek-stroj.	A lecture in the field of human-machine communication.
Gos009	Konverzacijski del učne ure slovenščine za tujce v jezikovni šoli.	The conversation section of a Slovenian language lesson for foreigners at a language school.
Gos010	Učna ura slovenščine, šesti razred OŠ. Obravnavali so oglasno sporočilo in nakupovalne navade.	Slovenian language lesson, Year 6 of primary school. They discussed an advertisement and shopping habits.
Gos011	Osnovna šola, predmet zgodovina, 6. razred, o obdobju pred Grki.	Primary school, history lesson, Year 6, on the period before the Greeks.
Gos012	6. razred, ura matematike, vaje za test: računske operacije z decimalnimi števili, vaje ter zapisovanje računa s pomočjo tekstne naloge.	Year 6, maths lesson, test practice: arithmetic operations with decimal numbers, exercises and writing out calculations using a text-based problem.
Gos013	Ura naravoslovja in tehnike v petem razredu OŠ, učitelj se z učenci pogovarja o vrstah prsti, rešujejo delovne liste in naredijo nekaj poskusov.	Science and technology lesson in Year 5 of primary school; the teacher discusses soil types with the pupils, they complete worksheets and carry out some experiments.
Gos014	Osnovnošolska učna ura naravoslovja (o podnebju) v petem razredu.	Primary school science lesson (on the climate) in Year 5.
Gos015	Učna ura slovenščine, 7. razred. Književnost, ljudsko slovstvo: dela so analizirali, iskali v njih razna slogovna sredstva, arhaične izraze ...	Slovenian language lesson, Year 7. Literature, folklore: they analysed the works, looking for various stylistic devices, archaic expressions, etc.
Gos016	Osnovnošolska učna ura naravoslovja (o rastlinah) v šestem razredu.	Primary school science lesson (on plants) in Year 6.
Gos017	Šolska ura o umetnostnem besedilu, prijateljstvu, pridevnikih v umetnostnem besedilu.	Lesson on literary texts, friendship, and adjectives in literary texts.
