doc_id	slovenian	english
GosVL01_pravo	Kriza refleksije prava	The crisis of legal reflection
GosVL02_kleme	Monografija o kiparju Francescu Robbi	A monograph on the sculptor Francesco Robba
GosVL03_medit	Meditacija - razum izven škatle	Meditation – the mind outside the box
GosVL04_fitot	Sodobna fitoterapija…	Modern phytotherapy…
GosVL05_zsrce	Nenaden zastoj srca izven bolnišnice…	Out-of-hospital sudden cardiac arrest…
GosVL06_kzcoi	Kako živčna celica obdeluje informacije	How a nerve cell processes information
GosVL07_kungf	Spletni kung-fu, nekaj malega o varnosti…	Online kung-fu: a little about security…
GosVL08_droge	Možgani: Droge in duševne motnje	The brain: drugs and mental disorders
GosVL09_ocean	Morja in oceani…	Seas and oceans…
GosVL10_partn	Izbira spolnega in/ali življenjskega partnerja…	Choosing a sexual and/or life partner…
GosVL11_lhise	Energijsko učinkovite leseno-steklene hiše	Energy-efficient timber-and-glass houses
GosVL12_cujec	Čuječnost tukaj in zdaj	Mindfulness here and now
GosVL13_menin	Klopni meningoencefalitis	Tick-borne meningoencephalitis
GosVL14_karci	Zdravljenje neoperabilnega ploščatoceličnega …	Treatment of inoperable squamous cell …
GosVL15_celia	Incidenca celiakije v zdravi študentski populaciji…	The incidence of coeliac disease in a healthy student population…
GosVL16_stara	Družbeni vidiki zdravja in staranja	Social aspects of health and ageing
GosVL17_inten	Računsko intenzivne metode in aplikacije	Computationally intensive methods and applications
GosVL18_aritm	Aritmetika oblik: skriti vzorci v oblakih točk	The arithmetic of shapes: hidden patterns in point clouds
GosVL19_pujsk	Urejen vrvež novorojenih pujskov pri seskih	The orderly bustle of newborn piglets at the teats
GosVL20_zumer	Ograjene in koloidne modre faze ter skirimioni	Confined and colloidal blue phases and skyrmions
GosVL21_poraz	Porazdelitev kemičnih prvin v tleh…	The distribution of chemical elements in soil…
GosVL22_siste	Ekspertni sistem za odkrivanje goljufij …	An expert system for fraud detection …
GosVL23_jeklo	Jeklo nove generacije PROTAC 500	PROTAC 500, a new generation of steel
GosVL24_inter	Omrežja in porazdeljeni sistemi	Networks and distributed systems
GosVL25_nanom	Nanomateriali v okoljevarstvu in senzoriki	Nanomaterials in environmental protection and sensing
GosVL26_slova	Slovanski knjižni mikrojeziki: opredelitev in prikaz pojava znotraj slovenščine	Slavic literary microlanguages: defining and illustrating the phenomenon within Slovene
GosVL27_zagar	Srednja Evropa in oblikovanje kolektivnih…	Central Europe and the shaping of collective…
GosVL28_reber	Podjetniška univerza in podjetno mesto	The entrepreneurial university and the enterprising town
GosVL29_hladn	Perspektive slovenske literarne zgodovine	Perspectives on Slovene literary history
GosVL30_kramb	Bionika in nanotehnologija	Bionics and nanotechnology
GosVL31_plesn	Individualizacija kazenskih sankcij	The individualisation of criminal sanctions
GosVL32_temen	Delovne kariere	Professional careers
GosVL33_erjav	Raziskovanje sodobnih medijskih problemov	Researching contemporary media problems
GosVL34_druzb	Moč družboslovne imaginacije	The power of the social science imagination
GosVL35_vicar	Si kdaj videl svobodnega konja	Have you ever seen a free horse?
GosVL36_bozan	Digitalna komunikacija - prenos podatkov na zahtevo	Digital communication – data transfer on demand
GosVL37_zadel	Pozitivna psihologija - več tisoč let stara misel	Positive psychology – an idea thousands of years old
GosVL38_remsk	Morje: smetišče ali zdravo življenjsko okolje	The sea: a rubbish dump or a healthy living environment
GosVL39_skrek	Identifikacija in upravljanje podatkov	Data identification and management
GosVL40_dobra	Otvoritev	Opening ceremony
GosVL41_custv	Trenja stališč in čustvenčki v žarišču	Clashes of opinion and emoticons in the spotlight
GosVL42_kovac	Mikroplastika v Jadranskem morju	Microplastics in the Adriatic Sea
GosVL43_ramsa	Nanovarnost in detekcija onesnaženosti zraka z nanodelci	Nanosafety and the detection of air pollution by nanoparticles
GosVL44_mramo	Koliko se lahko podjetje zadolži?	How much can a company borrow?
GosVL45_tinta	Vpliv antropogenih dejavnikov in klimatskih sprememb na morske mikroorganizme	The impact of anthropogenic factors and climate change on marine microorganisms
GosVL46_peter	Opazovanje plazu na Potoški planini (SZ Slovenija) z uporabo rezultatov zračne fotogrametrije in tahimetričnih meritev	Monitoring the landslide at Potoška planina (NW Slovenia) using aerial photogrammetry and tacheometric measurements
GosVL47_algeb	Konveksnost in realna algebraična geometrija	Convexity and real algebraic geometry
GosVL48_vavpo	Nova priložnost za nas?	A new opportunity for us?
GosVL49_izobr	Stanje izobraževanja računalništva in informatike v Sloveniji	The state of computer science and informatics education in Slovenia
GosVL50_smole	Ko narečje v družini zamre	When a dialect dies out within the family
GosVL51_horva	Poroke skozi fotografijo	Weddings through photography
GosVL52_bezge	O jeziku glasbe in tišine	On the language of music and silence
GosVL53_sirok	Planiški vetrovnik	The Planica wind tunnel
GosVL54_mrhar	Translacijska medicina: razlaga variabilnosti in vivo učinka zdravilne učinkovine z in vitro eksperimenti, primer raloksifena	Translational medicine: explaining the variability of the in vivo effect of an active substance through in vitro experiments, the case of raloxifene
GosVL55_vrabe	Fazna razmerja v ultravisokotlačnih kianitovih eklogitih med viškom metamorfoze in dekompresijo	Phase relations in ultrahigh-pressure kyanite eclogites during peak metamorphism and decompression
