sample_id	sample_label	sent_id	doc_id	subcorpus	input_lines	enriched_lines	token_count	event_in_enriched	speaker_id_in_enriched	utterance_source	utterances_checked	mapped_speakers	edge_case_type	text_preview
S01	doc_start_event_and_speaker_Gos	Gos224.s1	Gos224	Gos	2754727-2754734	3483524-3483540	4	yes	Af-prij-07190	carried # newpar id	Gos224.u1	Af-prij-07190	_	tam smo vidli pa
S02	doc_start_event_and_speaker_GosVL	GosVL14_karci.s1	GosVL14_karci	GosVL	3202173-3202190	4102688-4102714	14	yes	Sm-vl022	carried # newpar id	GosVL14_karci.u1	Sm-vl022	_	veseli me da lahko danes predstavm en del del eee rezultatov naše programske skupine
S03	doc_start_event_and_speaker_Artur-J	Artur-J-Gvecg-P580017.resegsent10614	Artur-J-Gvecg-P580017	Artur-J	328335-328348	381370-381393	13	yes	Artur-J-G4544	token OriginalUtteranceId	Artur-J-Gvecg-P580017.u1	Artur-J-G4544	_	tudi zato , ker ta občina v teh dneh praznuje svoj praznik .
S04	doc_start_event_and_speaker_Artur-N	Artur-N-G5038-P600037.resegsent28429	Artur-N-G5038-P600037	Artur-N	719196-719218	861446-861478	22	yes	Artur-N-G5038	token OriginalUtteranceId	Artur-N-G5038-P600037.u2	Artur-N-G5038	_	in sicer : najprej , eee , vzameš tristo gramov moke , lahko je bela , lahko dodaš še malo polnozrnate .
S05	doc_start_event_and_speaker_Artur-P	Artur-P-G7181-P701995.resegsent63049	Artur-P-G7181-P701995	Artur-P	1617263-1617287	1937393-1937427	24	yes	Artur-P-G7181	token OriginalUtteranceId	Artur-P-G7181-P701995.u1	Artur-P-G7181	_	torej , na našem ministrstvu že od januarja dva tisoč dvanajst dalje teče postopek priprave držaunega prostorskega načrta za hidroelektrarno hrastje-mota na Muri .
S06	ordinary_gos_sentence_speaker_only	Gos059.s171	Gos059	Gos	1983559-1983564	2428860-2428870	3	no	Lf-ucen-02196	carried # newpar id	Gos059.u144	Lf-ucen-02196	_	mislim … čas
S07	ordinary_artur_sentence_speaker_only	Artur-P-G7030-P700134.resegsent46706	Artur-P-G7030-P700134	Artur-P	1169420-1169447	1404275-1404307	27	no	Artur-P-G7030	token OriginalUtteranceId	Artur-P-G7030-P700134.u1	Artur-P-G7030	_	s strani Držaunega odvetništva smo bili obveščeni , da je Europska komisija petega desetega dva osəmnajst ložila tožbo in sodišču predlaga , da Sloveniji naloži globe .
S08	mixed_multiple_known_speakers_no_sentence_speaker	Artur-J-Gvecg-P580013.resegsent10183	Artur-J-Gvecg-P580013	Artur-J	317380-317398	368270-368288	18	no	_	token OriginalUtteranceId	Artur-J-Gvecg-P580013.u88; Artur-J-Gvecg-P580013.u89	Artur-J-G4543; Artur-J-G4531	multiple_known_speakers	naj vam bo srečno Hvala za tvoj obisk v studiu Štajerskega vala , hvala za to voščilo .
S09	known_plus_unresolved_utterance_no_sentence_speaker	Artur-P-G7041-P701501.resegsent47979	Artur-P-G7041-P701501	Artur-P	1201676-1201762	1443131-1443217	86	no	_	token OriginalUtteranceId	Artur-P-G7041-P701501.u6; Artur-P-G7041-P701501.u8; Artur-P-G7041-P701501.u9; Artur-P-G7041-P701501.u11	Artur-P-G7041	known_plus_unresolved_utterance	potem vemo , da je pred nami , eee , resən problem , ki terja , eee , zelo , em , ki terja poenotenje , in , em , čimprejšne poenotenje in , em , področje je potrebno uredit čim prej , usekakor še pred nasledno krizo ...
S10	unavailable_no_who_no_sentence_speaker	GosVL39_skrek.s89	GosVL39_skrek	GosVL	3303538-3303548	4232397-4232407	9	no	_	carried # newpar id	GosVL39_skrek.u9	_	_	ampak je pa problem s čiščenjem s formatom podatkov
